occ1950,Label,Metallic? (Zagreb),Iron-ore-facing?
322,"Dispatchers and starters, vehicle",,
325,Express messengers and railway mail clerks,,
335,Mail carriers,,
340,Messengers and office boys,,
341,Office machine operators,,
342,Shipping and receiving clerks,,
350,"Stenographers, typists, and secretaries",,
360,Telegraph messengers,,
365,Telegraph operators,,
370,Telephone operators,,
380,"Ticket, station, and express agents",,
390,Clerical and kindred workers (n.e.c.),,
,Sales workers:,,
400,Advertising agents and salesmen,,
410,Auctioneers,,
420,Demonstrators,,
430,Hucksters and peddlers,,
450,Insurance agents and brokers,,
460,Newsboys,,
470,Real estate agents and brokers,,
480,Stock and bond salesmen,,
490,Salesmen and sales clerks (n.e.c.),,
,Craftsmen:,,
500,Bakers,,
501,Blacksmiths,,
502,Bookbinders,,
503,Boilermakers,,
504,"Brickmasons, stonemasons, and tile setters",,
505,Cabinetmakers,,
510,Carpenters,,
511,Cement and concrete finishers,,
512,Compositors and typesetters,,
513,"Cranemen, derrickmen, and hoistmen",,
514,Decorators and window dressers,,
515,Electricians,,
520,Electrotypers and stereotypers,,
521,"Engravers, except photoengravers",,
522,"Excavating, grading, and road machinery operators",,
523,Foremen (n.e.c.),,
524,Forgemen and hammermen,x,
525,Furriers,,
530,Glaziers,,
531,"Heat treaters, annealers, temperers",?,
532,"Inspectors, scalers, and graders, log and lumber",,
533,Inspectors (n.e.c.),,
534,"Jewelers, watchmakers, goldsmiths, and silversmiths",,
535,"Job setters, metal",?,
540,"Linemen and servicemen, telegraph, telephone, and power",,
541,Locomotive engineers,,
542,Locomotive firemen,,
543,Loom fixers,,
544,Machinists,x,
545,"Mechanics and repairmen, airplane",,
550,"Mechanics and repairmen, automobile",,
551,"Mechanics and repairmen, office machine",,
552,"Mechanics and repairmen, radio and television",,
553,"Mechanics and repairmen, railroad and car shop",,
554,Mechanics and repairmen (n.e.c.),,
555,"Millers, grain, flour, feed, etc.",,
560,Millwrights,?,?
561,"Molders, metal",x,?
562,Motion picture projectionists,,
563,Opticians and lens grinders and polishers,,
564,"Painters, construction and maintenance",,
565,Paperhangers,,
570,"Pattern and model makers, except paper",,
571,Photoengravers and lithographers,,
572,Piano and organ tuners and repairmen,,
573,Plasterers,,
574,Plumbers and pipe fitters,,
575,"Pressmen and plate printers, printing",,
580,"Rollers and roll hands, metal",x,?
581,Roofers and slaters,,
582,"Shoemakers and repairers, except factory",,
583,Stationary engineers,?,
584,Stone cutters and stone carvers,,
585,Structural metal workers,x,?
590,Tailors and tailoresses,,
591,"Tinsmiths, coppersmiths, and sheet metal workers",x,
592,"Tool makers, and die makers and setters",,
593,Upholsterers,,
594,Craftsmen and kindred workers (n.e.c.),,
595,Members of the armed services,,
,Operatives:,,
600,Apprentice auto mechanics,,
601,Apprentice bricklayers and masons,,
602,Apprentice carpenters,,
603,Apprentice electricians,,
604,Apprentice machinists and toolmakers,x,
605,"Apprentice mechanics, except auto",,
610,Apprentice plumbers and pipe fitters,,
611,"Apprentices, building trades (n.e.c.)",,
612,"Apprentices, metalworking trades (n.e.c.)",x,?
613,"Apprentices, printing trades",,
614,"Apprentices, other specified trades",,
615,"Apprentices, trade not specified",,
620,Asbestos and insulation workers,,
621,"Attendants, auto service and parking",,
622,Blasters and powdermen,?,
623,"Boatmen, canalmen, and lock keepers",,
624,"Brakemen, railroad",,
625,Bus drivers,,
630,"Chainmen, rodmen, and axmen, surveying",,
631,"Conductors, bus and street railway",,
632,Deliverymen and routemen,,
633,"Dressmakers and seamstresses, except factory",,
634,Dyers,,
635,"Filers, grinders, and polishers, metal",,
640,"Fruit, nut, and vegetable graders, and packers, except factory",,
641,"Furnacemen, smeltermen and pourers",x,x
642,"Heaters, metal",x,
643,Laundry and dry cleaning operatives,,
644,"Meat cutters, except slaughter and packing house",,
645,Milliners,,
650,Mine operatives and laborers,,
660,"Motormen, mine, factory, logging camp, etc.",,
661,"Motormen, street, subway, and elevated railway",,
662,"Oilers and greaser, except auto",?,
670,"Painters, except construction or maintenance",,
671,Photographic process workers,,
672,Power station operators,,
673,Sailors and deck hands,,
674,Sawyers,,
675,"Spinners, textile",,
680,Stationary firemen,,
681,"Switchmen, railroad",,
682,Taxicab drivers and chauffers,,
683,Truck and tractor drivers,,
684,"Weavers, textile",,
685,Welders and flame cutters,x,
690,Operative and kindred workers (n.e.c.),,
,Service Workers (private household):,,
700,"Housekeepers, private household",,
710,"Laundresses, private household",,
720,Private household workers (n.e.c.),,
,Service Workers (not household):,,
730,"Attendants, hospital and other institution",,
731,"Attendants, professional and personal service (n.e.c.)",,
732,"Attendants, recreation and amusement",,
740,"Barbers, beauticians, and manicurists",,
750,Bartenders,,
751,Bootblacks,,
752,Boarding and lodging house keepers,,
753,Charwomen and cleaners,,
754,"Cooks, except private household",,
760,Counter and fountain workers,,
761,Elevator operators,,
762,"Firemen, fire protection",,
763,"Guards, watchmen, and doorkeepers",,
764,"Housekeepers and stewards, except private household",,
770,Janitors and sextons,,
771,Marshals and constables,,
772,Midwives,,
773,Policemen and detectives,,
780,Porters,,
781,Practical nurses,,
782,Sheriffs and bailiffs,,
783,"Ushers, recreation and amusement",,
784,Waiters and waitresses,,
785,Watchmen (crossing) and bridge tenders,,
790,"Service workers, except private household (n.e.c.)",,
,Farm Laborers:,,
810,Farm foremen,,
820,"Farm laborers, wage workers",,
830,"Farm laborers, unpaid family workers",,
840,"Farm service laborers, self-employed",,
,Laborers:,,
910,Fishermen and oystermen,,
920,Garage laborers and car washers and greasers,,
930,"Gardeners, except farm and groundskeepers",,
940,Longshoremen and stevedores,,
950,"Lumbermen, raftsmen, and woodchoppers",,
960,Teamsters,,
970,Laborers (n.e.c.),,
